Brand;Title;Kilometer;Gas Type;Gear Box;Year;Price
Abarth;Abarth 595 1.4 T-Jet MTA;130 000;Gasolina;Automática;2011;15 990
Abarth;Abarth 595C 1.4 T-Jet 595;47 500;Gasolina;Manual;2017;19 990
Abarth;Abarth 500 1.4 T-Jet Elaborazione;72 000;Gasolina;Manual;2016;14 900
Abarth;Abarth 695C 1.4 T-Jet Rivale;26 800;Gasolina;Manual;2018;29 950
Abarth;Abarth 695 1.4 T-Jet Esseesse;11 484;Gasolina;Manual;2022;35 900
Abarth;Abarth 595 1.4 T-Jet Pista 3.0;38 000;Gasolina;Manual;2021;24 900
Abarth;Abarth 500C 1.4 T-Jet Turismo;91 000;Gasolina;Manual;2015;14 500
Abarth;Abarth 595 Aut. Competizione;103 000;Gasolina;Automática;2017;25 900
Abarth;Abarth Punto Evo 1.4 16V Multiair Supersport S&S;157 000;Gasolina;Manual;2013;16 900
Abarth;Abarth 595C 1.4 T-Jet Turismo MTA;35 000;Gasolina;Automática;2019;23 900
Abarth;Abarth 500C;143 231;Gasolina;Automática;2012;15 480
Abarth;Abarth 595 1.4 T-Jet Turismo;80 000;Gasolina;Manual;2017;19 450
Abarth;Abarth 500 1.4 T-Jet Elaborazione;148 000;Gasolina;Manual;2009;11 950
Abarth;Abarth 595C 1.4 T-Jet 595;39 454;Gasolina;Manual;2018;21 950
Abarth;Abarth 500C;63 000;Gasolina;Manual;2015;14 950
Abarth;Abarth 124 Spider 1.4 T Multiair;19 000;Gasolina;Manual;2019;39 980
Abarth;Abarth 595 1.4 T-Jet;71 444;Gasolina;Manual;2019;20 990
Abarth;Abarth 595 1.4 T-Jet Custom;89 000;Gasolina;Manual;2016;16 750
Abarth;Abarth 500 1.4 T-Jet Essesse;147 719;Gasolina;Manual;2012;14 900
Abarth;Abarth 124 Spider 1.4 T Multiair;44 500;Gasolina;Manual;2017;34 999
Abarth;Abarth 595C 1.4 T-Jet Turismo MTA;40 000;Gasolina;Automática;2019;22 999
Abarth;Abarth 500C 1.4 T-Jet;162 000;Gasolina;Manual;2012;12 990
Abarth;Abarth 124 Spider 1.4 MultiAir Turbo;22 500;Gasolina;Manual;2017;39 000
Aiways;Aiways U5 Prime;27 000;Eléctrico;Automática;2023;27 900
Aiways;Aiways U5 Prime;17 508;Eléctrico;Automática;2023;28 500
Aiways;Aiways U5 Prime;27 148;Eléctrico;Automática;2022;28 900
Aiways;Aiways U5 Prime;15 750;Eléctrico;Automática;2023;27 990
Aixam;Aixam Coupé;2 850;Eléctrico;Automática;2022;17 950
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;149 800;Diesel;Automática;2017;25 500
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;157 000;Diesel;Automática;2020;28 900
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Sport TCT;90 800;Diesel;Automática;2018;16 900
Alfa Romeo;Alfa Romeo Tonale 1.5 Hybrid Sprint;1;Híbrido (Gasolina);Automática;2024;42 594
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Sprint Q4 AT8;1;Diesel;Automática;2024;71 395
Alfa Romeo;Alfa Romeo Tonale 1.6 VGT-D Sprint;1;Diesel;Automática;2024;46 195
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Sprint AT8;1;Diesel;Automática;2024;66 394
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Corporate;123 193;Diesel;Manual;2014;12 900
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Super;148 000;Diesel;Manual;2017;15 990
Alfa Romeo;Alfa Romeo MiTo 1.4 T MultiAir Quadrifloglio Verde;102 000;Gasolina;Manual;2012;10 900
Alfa Romeo;Alfa Romeo Giulia 2.2 D Super;99 126;Diesel;Manual;2018;24 990
Alfa Romeo;Alfa Romeo Tonale;4 600;Híbrido (Gasolina);Automática;2023;37 900
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Distinctive;215 066;Diesel;Manual;2014;9 990
Alfa Romeo;Alfa Romeo MiTo 1.3 JTD Distinctive S&S;133 000;Diesel;Manual;2012;8 500
Alfa Romeo;Alfa Romeo MiTo 1.3 JTDM;115 137;Diesel;Manual;2017;12 450
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;122 156;Diesel;Automática;2019;30 990
Alfa Romeo;Alfa Romeo Giulietta;108 005;Diesel;Manual;2020;18 750
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;173 000;Diesel;Automática;2018;25 500
Alfa Romeo;Alfa Romeo Giulia 2.2 D Sprint AT8;18 800;Diesel;Automática;2023;46 500
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Distinctive 57X;84 326;Diesel;Manual;2017;15 490
Alfa Romeo;Alfa Romeo 159 Sportwagon 1.9 JTDm 16V Q-Tronic Sportiva;225 000;Diesel;Automática;2007;7 650
Alfa Romeo;Alfa Romeo Giulia 2.2 D Veloce Q4 AT8;99 616;Diesel;Automática;2019;39 900
